[56, 100] Train Error: 0.0032 | Train Perf: 0.8788 | Eval Error: 0.0051 | Eval Perf: 0.8035
[57, 100] Train Error: 0.0032 | Train Perf: 0.8794 | Eval Error: 0.0051 | Eval Perf: 0.8056
[58, 100] Train Error: 0.0031 | Train Perf: 0.881 | Eval Error: 0.0051 | Eval Perf: 0.8079
[59, 100] Train Error: 0.0031 | Train Perf: 0.8829 | Eval Error: 0.005 | Eval Perf: 0.8076
[60, 100] Train Error: 0.0031 | Train Perf: 0.8837 | Eval Error: 0.005 | Eval Perf: 0.8089
[61, 100] Train Error: 0.003 | Train Perf: 0.8857 | Eval Error: 0.005 | Eval Perf: 0.8103
[62, 100] Train Error: 0.003 | Train Perf: 0.8867 | Eval Error: 0.005 | Eval Perf: 0.8094
[63, 100] Train Error: 0.003 | Train Perf: 0.8871 | Eval Error: 0.005 | Eval Perf: 0.8105
[64, 100] Train Error: 0.003 | Train Perf: 0.8891 | Eval Error: 0.0049 | Eval Perf: 0.8098
[65, 100] Train Error: 0.0029 | Train Perf: 0.8888 | Eval Error: 0.0049 | Eval Perf: 0.8127
[66, 100] Train Error: 0.0029 | Train Perf: 0.8904 | Eval Error: 0.0049 | Eval Perf: 0.8138
[67, 100] Train Error: 0.0029 | Train Perf: 0.8922 | Eval Error: 0.0049 | Eval Perf: 0.8135
[68, 100] Train Error: 0.0029 | Train Perf: 0.8922 | Eval Error: 0.0049 | Eval Perf: 0.8149
[69, 100] Train Error: 0.0028 | Train Perf: 0.8934 | Eval Error: 0.0048 | Eval Perf: 0.8157
[70, 100] Train Error: 0.0028 | Train Perf: 0.8949 | Eval Error: 0.0048 | Eval Perf: 0.8162
[71, 100] Train Error: 0.0028 | Train Perf: 0.8958 | Eval Error: 0.0048 | Eval Perf: 0.8162
[72, 100] Train Error: 0.0028 | Train Perf: 0.8961 | Eval Error: 0.0048 | Eval Perf: 0.8171
[73, 100] Train Error: 0.0027 | Train Perf: 0.8971 | Eval Error: 0.0048 | Eval Perf: 0.8181
[74, 100] Train Error: 0.0027 | Train Perf: 0.8986 | Eval Error: 0.0048 | Eval Perf: 0.8185
[75, 100] Train Error: 0.0027 | Train Perf: 0.899 | Eval Error: 0.0048 | Eval Perf: 0.8186
[76, 100] Train Error: 0.0027 | Train Perf: 0.8995 | Eval Error: 0.0047 | Eval Perf: 0.8194
[77, 100] Train Error: 0.0026 | Train Perf: 0.9005 | Eval Error: 0.0048 | Eval Perf: 0.8202
[78, 100] Train Error: 0.0026 | Train Perf: 0.902 | Eval Error: 0.0047 | Eval Perf: 0.8203
[79, 100] Train Error: 0.0026 | Train Perf: 0.9018 | Eval Error: 0.0047 | Eval Perf: 0.8211
[80, 100] Train Error: 0.0026 | Train Perf: 0.9028 | Eval Error: 0.0047 | Eval Perf: 0.821
[81, 100] Train Error: 0.0026 | Train Perf: 0.9032 | Eval Error: 0.0047 | Eval Perf: 0.8219
[82, 100] Train Error: 0.0025 | Train Perf: 0.9052 | Eval Error: 0.0047 | Eval Perf: 0.8222
[83, 100] Train Error: 0.0025 | Train Perf: 0.905 | Eval Error: 0.0047 | Eval Perf: 0.8222
[84, 100] Train Error: 0.0025 | Train Perf: 0.9054 | Eval Error: 0.0047 | Eval Perf: 0.8231
[85, 100] Train Error: 0.0025 | Train Perf: 0.9063 | Eval Error: 0.0046 | Eval Perf: 0.8231
[86, 100] Train Error: 0.0025 | Train Perf: 0.9067 | Eval Error: 0.0046 | Eval Perf: 0.8234
[87, 100] Train Error: 0.0025 | Train Perf: 0.9078 | Eval Error: 0.0046 | Eval Perf: 0.8236
