[56, 100] Train Error: 0.0033 | Train Perf: 0.8737 | Eval Error: 0.0042 | Eval Perf: 0.8441
[57, 100] Train Error: 0.0033 | Train Perf: 0.8746 | Eval Error: 0.0042 | Eval Perf: 0.8446
[58, 100] Train Error: 0.0033 | Train Perf: 0.8757 | Eval Error: 0.0042 | Eval Perf: 0.8473
[59, 100] Train Error: 0.0032 | Train Perf: 0.8778 | Eval Error: 0.0042 | Eval Perf: 0.8468
[60, 100] Train Error: 0.0032 | Train Perf: 0.8782 | Eval Error: 0.0042 | Eval Perf: 0.8491
[61, 100] Train Error: 0.0032 | Train Perf: 0.8803 | Eval Error: 0.0041 | Eval Perf: 0.8509
[62, 100] Train Error: 0.0031 | Train Perf: 0.8813 | Eval Error: 0.0041 | Eval Perf: 0.8503
[63, 100] Train Error: 0.0031 | Train Perf: 0.8832 | Eval Error: 0.0041 | Eval Perf: 0.8492
[64, 100] Train Error: 0.0031 | Train Perf: 0.8834 | Eval Error: 0.0041 | Eval Perf: 0.8501
[65, 100] Train Error: 0.003 | Train Perf: 0.8844 | Eval Error: 0.004 | Eval Perf: 0.8521
[66, 100] Train Error: 0.003 | Train Perf: 0.8856 | Eval Error: 0.004 | Eval Perf: 0.8533
[67, 100] Train Error: 0.003 | Train Perf: 0.8872 | Eval Error: 0.004 | Eval Perf: 0.8523
[68, 100] Train Error: 0.003 | Train Perf: 0.8876 | Eval Error: 0.004 | Eval Perf: 0.8534
[69, 100] Train Error: 0.0029 | Train Perf: 0.8888 | Eval Error: 0.004 | Eval Perf: 0.8541
[70, 100] Train Error: 0.0029 | Train Perf: 0.8904 | Eval Error: 0.004 | Eval Perf: 0.8553
[71, 100] Train Error: 0.0029 | Train Perf: 0.8917 | Eval Error: 0.004 | Eval Perf: 0.8537
[72, 100] Train Error: 0.0029 | Train Perf: 0.8917 | Eval Error: 0.0039 | Eval Perf: 0.8543
[73, 100] Train Error: 0.0028 | Train Perf: 0.8923 | Eval Error: 0.004 | Eval Perf: 0.8578
